上海博泰悦臻PATEO	上海博泰悦臻电子设备制造有限公司
花样菜场	杭州当代互联科技有限公司
氛享香水	杭州馥诗网络科技有限公司
Scentbird
Scentpage
Toyplus玩具家
漂亮盒子
递衣
卖座网	深圳市华宇讯科技有限公司
雄孩子传媒	北京雄孩子传媒科技有限公司
BOKER	帛客智能科技（上海）有限公司
小书房
智慧书房
悦享共享图书	洛阳飞马信息科技有限公司
飞马图书
书本熊
芸信共享图书
聚能鼎力	北京聚能鼎力科技股份有限公司
中信出版
中文在线
阅读星
远东国兰	广东远东国兰股份有限公司
金塔股份
天禾农业
连城兰花
一森园林
名品彩叶
金销帮	北京亿耀电子商务有限公司
财蜂金融
花木金融	上海桢曦金融信息服务有限公司
迷你购	深圳市保富资产管理有限公司
我爱捡漏
万象众筹	湖南万象众筹网络科技有限公司
米来未来	北京米来未来教育科技有限公司
施地教育
赛吖
有子018
颜鉴
多智科技
杭州魔点科技
人人智能
云从科技
热知科技
科耀视觉
奈尔森
易思维
Point Grey
散木问问
国双科技
Chaindigg
极天信息
DATA TOUCH
消防M+
全球贷	环球财富（北京）信息科技有限公司
钻库网
莫比嗨客	沈阳莫比嗨客树莓派智能机器人有限公司
众星智联
合刃科技
沃科苏科技
汤尼机器人
洋娃娃科技
民杰电子
Simple & General Robot
D-ID
悉点科技
深醒科技
奇谷科技
深网视界
云图睿视
深感科技
阿凡达机器人
小雨机器人
树成智能
灵悦智汇
百芝龙智慧科技
创米科技
麦特智能
汇声科技
家联网络
富基风暴
岸达科技
行易道
主线科技
博未传感
独孤亚当无人驾驶
环宇智行
Affectiva
阿尔法鹰眼
Entropik
EMOKIT
FaceThink
CaliberMind
Cogito
纳智天地
旷视科技
Beyond Verbal
博思廷
Crushh
第六镜科技
铂亚信息
禾思科技
Plix
瑞为技术
uFace
帕米科技
信用无忧
元宝铺
事事帮
开开来
思亲
寻秘
next talk
s先生
九秘科技
V助理
魔镜在线
Magic Leap
Grabtalk
约车吧
OrangeTwig
Social Native
橙子娱乐
部落星
We Are Very Social Limited
cqaso
APPBK
多点科技
深圳掌尚科技
Blackbird Technologies
ImageDT
深度好奇
云捷报
帝恩思
中软华泰
赛博兴安
天云盾Defportal
Visual Threat
飞榴科技
Idvert艾瓦特网络
厦门快云科技
众赏科技
智唐科技
卓讯时代
普方立民
永数智能
麦瑞医疗
雷科技
三意楼宇
万安智能
看家护院
瑞特科技
善思帷幄
瑞雪科技
趋数网络
Atigeo
半云科技
雲天文化
独音文化
少儿音乐教育机构
大卫音乐网
DoSoMi
JoyTunes
好私塾
琴客岛
骥智智能科技
小狮科技
仙途智能
前海黑鲸科技
Kadho
灵声科技	上海灵声信息科技有限公司
语点信息
CoRich
融资岛
杭州集星网络科技有限公司
VMAXX
SUI思驭
络策网络
BasicFinder
深极智能
Musical.ai
Allegro.AI
XACT Robotics
云洲智能
盈科视控
墨家机器视觉
Wide Mobility Mechatronics
利珀科技
Microscan
图帮主	青岛创易智联网络有限公司
北冥星眸	杭州北冥星眸科技有限公司
小K智能
深智科技
广州幽联
ME微杂志
一只设计
WPS秀堂
70度
乐啊科技
MAKA
极觅数据	深圳极觅数据科技有限公司
HandJoy
八位堂
飞智
天堃众联
春派科技
光子互动
IBM
天泽信息
三网科技
勇艺达机器人
智伟达机器人
武汉巨东科技
众德云格机器人
行车宝	济南优耐特汽车电子有限公司
慧之发科技
空间座标
伟志股份
建通测绘
伟景行
星展测控
莱特九州
华龙智腾
雀普智能
千方科技
南京掌上公交
蓝斯股份
交投科技
天迈科技
七天教育
RealSkill
子衿教育
批改网
享尚学
华翰云
智校云
易考
云痕大数据
铭育科技
极兆科技
Stakana Analytics
风报
艾匀科技
北斗院
新蓝云众品牌策划
四维传媒
偶橙
圣岚广告
数拓科技
迈奔灵动
大智慧财汇
鑫火信息
索信达
拉普拉斯科技
远辽科技	公司规模：20-99人
数字绿土	北京数字绿土科技有限公司
增强视觉科技	深圳市增强视觉科技有限公司
触秀
Blippar
ULSee
通甲优博
理想境界
拓视觉信息技术
凯泽科技
视连通
光珀智能
解码DNA	解码(上海)生物医药科技有限公司
奇天基因
弘睿康生物
BioNano Genomics
高盛生物
赛业健康
华大基因
基因帮
量化健康
Microba
基迪奥	广州基迪奥生物科技有限公司
齐碳科技
至纯科技
白原科技	武汉白原科技有限公司
MedGenome Inc.
美因基因
佰美基因
GenoPalate
康黎医学
华夏基因
DNAFit
易瑞基因
奇恺健康
WeGene
唯实基因
量化健康	北京量化健康科技有限公司
锐翌生物
倍森基因
iCodon
天方创新Thorgene	天方创新（北京）信息技术有限公司
爱米基因
上海细胞治疗	上海细胞治疗工程技术研究中心集团有限公司
10X Genomics
波睿达生物
佐智汽车	北京佐智汽车技术有限公司
明朗智能汽车	廊坊市明朗智能汽车技术有限公司
小车险	北京小车仙科技有限公司
动了保
智驾科技
路比车险
Root Insurance
商车云
Metromile
众诚汽车
车赞
优智车联
势航网络
车雅途	北京车小二网络科技有限公司
KeepTruckin
护车狗
澳锝林
Nexar
先能网络
锐速骑行
顺航达
睿歌智能
智车族
优智车联	优智车联（北京）科技有限公司
小车险
我来保	北京众保互融信息技术有限公司
四叶草车险
1号车险
保多多
灵犀金融
佳途信息
车爱保
车小宝
我是车主
车友保
RenewBuy
保多多	上海亲益保网络科技有限公司
我来保
保挣科技
佳途信息	苏州佳途信息科技有限公司
诺禾心康
恒特基因	深圳恒特基因有限公司
初志科技	北京初志科技有限公司
瑞驰信息
宏杉科技	杭州宏杉科技股份有限公司
我病我医	我病我医科技（深圳）有限公司
小明病历本
亿基因	广州至元耀康信息科技有限公司
凡迪生物	上海凡迪生物科技有限公司
铜牛信息	北京铜牛信息科技股份有限公司
UCloud
新致云
臻云技术
DeferPanic
酷克数据
Greenqloud
DaoCloud
ZStack
联云世纪
锐角云
Webscale Networks
安畅网络
依伴	深圳市依伴数字科技有限公司
伊健康
德诺迈斯	深圳德诺迈斯科技有限公司
微众传媒	北京微众文化传媒有限公司
计兮	计兮（北京）科技有限公司
鱼邻
鱼邻	山西易通天下网络科技有限公司
销售易	仁科互动（北京）信息科技有限公司
六度人和
易销客
客脉
SmartSales
众志好活
小宝招商
销售家
蚂蚁销售
业务帮
51代理
徐工信息	江苏徐工信息技术股份有限公司
紫清科技
宁波EPDM工厂
国科云端
KONUX
CyberX
极熵物联
RegelTEK
万物云联网
锱云科技
Nurego
阅影科技	深圳市阅影科技有限公司
小懂健康
HeartFlow
拉卡拉	拉卡拉支付股份有限公司
Wecash闪银奇异科技
云棱镜
外滩征信
云话科技
星云纵横	星云纵横（北京）大数据信息技术有限公司
众标
拓明科技
迪奥科技
奥博信息
中科点击
中科鼎富上海奔耀	上海奔耀信息科技有限公司
清数科技
四方伟业
数传集团
迈宁数据
Platfora
极拍	成都平行视野科技有限公司
蛋幕
乐晒
百行征信
天下无赖
益博睿
初链征信
立木征信
开数科技	北京开数科技有限公司
finmai
孔明科技
电鹰科技	湖北电鹰科技有限公司
智影会
大秀天域科技
Voliro
飞图无人机
曜宇航空
德润航空
寰泰科技
中航智
千牛无人机
华越无人机	深圳华越无人机技术有限公司
老鹰航空
中翼体育
汉来无人机学院
卓万文化传播
千牛无人机	湖南千牛无人机科技有限公司
Skycatch
Hybrid Airplane Technologies
Ctrl Me Robotics
飞虎无人机
深远世宁
Freefly Systems
大诚通用
四维科技
得到	得到（天津）文化传播有限公司
十点读书
钱研社
易易信息
学两招
老子问问
问视
知识分子
21点见
专头
勇往科技
ShowU
一块学习
又土又木
响问
趣直播
音乐之友
我懂APP
量子学派
约基
蛋蛋解读会
爱好清单
精茂文化
西瓜集
有养
今日知识
小鹅通
万事屋
享听
自得网
轻准无人机
繁兴科技	深圳市繁兴科技股份有限公司
优必选
杉川机器人
RoboMing
Neato Robotics
粉象网络科技	西安粉象网络科技有限公司
一维弦机器人
Youibot
井荥机器人
朗驰欣创
AMP Robotics
云芯科技
自在科技
TrackR
亲觅科技
高厚智能
云里物里
心路雷达
云朵网络
神兔侠
易锁宝
微电云
蹲蹲兔
e伴孝芯
利拍档
Pug启示录
贝宝士
Tile
易联创
Informu
Guardian
Capcare凯步关爱
GeoZilla
子亥科技
记忆碎片科技
潮汐车锁
火卫一科技
东方瓦力
未来天使
爱乐宝机器人
越疆科技
Zaker	广州坚和网络科技有限公司
Hotoday
Daily Khabar
聊点资讯
plato柏拉图	武汉格致先行文化发展有限公司
奇趣星球
美聚宝
部落星	上海星邑信息科技有限公司
乐锐LeRays
新网红APP
Inked Brands
餐饮咖	北京餐咖科技有限公司
酒业家
诺德安达双语学校
先声教育
Kaizena
Multibhashi
潍坊市外国语学校
趣趣ABC
比特e学堂
皮皮鱼少儿英语
智博汇晶	北京智博汇晶教育科技有限公司
数库	数库（上海）科技有限公司
朝阳永续
恒生聚源
源蚁
高登世德
量子金融	杭州量子金融信息服务有限公司
慧信通
PINTEC品钛
有数推荐	杭州大门槛数据科技有限公司
大智慧
智储科技
跟投网络
Chart Pattern Search
投资赢家
大讲台	北京大讲台科技有限公司
禾玛学院
玩编程
前海全景财经	深圳前海全景财经信息有限公司
微金科技
火星财经
金融之家
小蜂财经
听潮财经
对冲研投
万有新媒
明特商业保理	明特商业保理有限公司
弥康科技	浙江弥康信息科技有限公司
锐融科技
数智源
南宁明匠智能
豪鹏科技
和彩科技
ONEGO
玩伴机器人
豆芽电子
思依暄
拓趣机器人
智伴科技
开心果机器人
CareSmart机器人
事巧教育科技
友悦机器人
OSBean
我牛科技
德宝威
蝉大师
酷炫网络
友钱
网聚生活	北京网聚生活科技有限公司
Rocket10
销酷
帆悦
Agamemnon
蓝莓盈动
Skrilo
Swrve
微巴信息技术	杭州微巴信息技术有限公司
花儿绽放
微趋道
Wi-Fi Zone
宁波微联
微炫客
Nuu微信平台/牛友信息
汇星互联
睿程科技
社群科技
微指数
有信二维码
椰子娱乐	北京椰子娱乐文化传媒有限公司
兴裕传媒
日本BitStar
联想集团
Live800客服系统
TQ云呼叫中心
双牛信息
快送哥
秒通网络
王华周智能镜面
Helpshift
ICONTEK
美洽
绿云科技	杭州绿云科技有限公司
腾信	北京腾信软创科技股份有限公司
东华软件
麦云云计算
科莱特
格迅软件
CTIT
不二	西安依你网络科技有限公司
番茄派
瓷肌	广州微店网络科技有限公司
美肤美妆
美控
玫瑰联盟
姐的那点事儿
桃瓣美妆
你说的都对	你说的都对（北京）科技有限公司
Media V
钱端科技
HookLogic
东方嘉禾
Starworks Group
开干传媒
简术校园
天津艺点意创
星点传媒
尚诚同力
合润传媒
Black Swan
Bynder
传播管家
联合友为
锐思股份
华诚传媒
Twizoo
Asatsu-DK
优晟股份
奇思广告
分趣输入法	分趣科技（深圳）有限公司
万能五笔输入法
手心输入法
懒人输入法
番茄输入法
新美互通
创世纪信息技术
TouchOne
WI输入法
T52输入法
哇哇鱼网络科技
Fleksy
地书输入法
章鱼输入法
PP浏览器	广州铁人网络科技有限公司
天玩
JH浏览器
海豚浏览器
XBrowser
火猴浏览器	上海火猴网络科技股份有限公司
章鱼输入法	北京百文宝科技股份有限公司
新点科技
道卓科技
道卓科技	北京道卓科技有限公司
豚豚	豚豚云计算有限公司
中商联动	中商联动（北京）科技有限公司
翼企
图大网络
成都永晗科技
哈希曼普
豚豚
易查搜索
祈祯网络
起聚科技
恒达云
起聚科技	上海起聚信息科技有限公司
倾城时代网络
蓝泽欧网络
祈祯网络	广州祈祯网络科技有限公司
寰泽网络
四合传媒	福建四合文化传媒有限公司
抹抹茶
易简广告	易简广告传媒集团股份有限公司
PALMAX
蜂巢天下
傲游浏览器	北京傲游天下科技有限公司
万能五笔输入法	上海嵩恒网络科技有限公司
分趣输入法
北京航知信科技有限公司
创世纪信息技术	创世纪教育信息咨询有限公司
杰夫与友	重庆杰夫与友文化创意有限公司
北斗院	深圳北斗应用技术研究院有限公司
麦创科技Mestab
国信大数据
卓信数据	北京卓信智恒数据科技股份有限公司
金山软件
奥远电子
优通科技
彩云时代	北京彩云时代科技有限公司
络町网络
投关易
牛投邦
迅策科技
魔蝎数据
Lean Work
金融魔方
互融云
天天有余
北京规格委外
数牛云
联创智融
劲米科技
魔蝎数据	杭州魔蝎数据科技有限公司
天元方程	北京天元方程科技有限公司
东方金信
捷荟信息
阿拉丁大数据
阿凡达数据
京东万象
优易数据
浙江大数据交易中心
柏睿数据
天眼查	北京金堤科技有限公司
启信宝
浙江数鼎科技
云众信信用
启信宝	苏州贝尔塔数据技术有限公司
天眼查
开普乐科技
电话邦
BigchainDB
DataFox
CrunchBase
信至尚	工信信至尚（浙江）企业征信服务有限公司
中诚信源征信有限公司
深圳众赢
惠信易达
VideoStitch
Insta360
疯景科技
泰科易
Ocam
C360 technology
泓众科技
观界创宇
博思尼科技
新雅VR
Terpon
Spherica
硕颖数码
720DV
MintMuse
拓灵VR
Altia Systems
长春易加科技	长春易加科技有限公司
ulalaLAB
智变赢乾
瑞意博
琥崧智能
龙腾智控
玄羽科技
维书信息
鼎炬科技
瑞意博	深圳市瑞意博科技股份有限公司
长春易加科技
琥崧智能	上海琥崧智能科技股份有限公司
阿凡达智控	深圳阿凡达智控有限公司
云海物联
蜂联智能家居
飞利浦
艾斯森特
飞利浦	飞利浦（中国）投资有限公司
阿凡达智控
烨睿科技	上海烨睿信息科技有限公司
Ayomi
庖丁科技
BitUP
i3systems
思既美
MindBridge
怀若智能
筑成金融	北京协力筑成金融信息服务股份有限公司
中科视慧	北京中科视慧科技有限公司
位和科技
英华高科
并行科技
思迈纵横
曼塔智能	深圳曼塔智能科技有限公司
智璟科技
艾肯拓
浩瀚卓越
宙心科技
知芯集成电路
Ascending Technologies
甲+科技
屹德无人机
泰越科技	承德天宏泰越信息科技股份有限公司
金网华威
中诚股份
天立泰
云华通
峰杰股份
怡联科技
云天化信息科技
一安高新
长信股份
金山顶尖
希德电子	西安希德电子信息技术股份有限公司
北方科诚
烽火科技
泰越科技
统领网络
南京鼎丰诚
金网华威	北京金网华威科技有限公司
希德电子
GQY视讯	宁波GQY视讯股份有限公司
晖龙集团
卡特智能机器人
武汉巨东科技	武汉市巨东科技有限公司
安泽智能
原子机器人科技
基卡科技
阿思特机器人
慧腾机器人
同望科技	同望科技股份有限公司
西奥科技
北科光大
维拓智能
天夏智慧
赣州科睿特
格美特科技
同兴股份
中科云谷
志晟信息
通宇泰克
威星电子
东方金信	北京东方金信科技有限公司
Hortonworks
Cloudera
天元方程
数猎云
天云大数据
红象云腾
MapR Technologies
鹰谷Integle	上海鹰谷信息科技有限公司
新增鼎数据
众荟
摸象大数据
逸兴泰辰
智领云
微菲斯信息科技
阿凡提财富顾问	北京阿凡提财富管理顾问有限公司
股票帮帮
量化大师
量熵科技	量熵科技（深圳）有限公司
烨睿科技
Numerai
英富森	北京英富森软件股份有限公司
百山网络
榆钱
纵横盛世
友信恒泰
讯一佳
深圳微电时代信息科技
灵匠科技
燕致网络
小纽问答
BurgieLaw
人人法
数联惠法
蚂蚁HR	上海微聘信息科技有限公司
浙商企业
云袋里
卓聘人力
圣菲可人力
谋谋科技
大眼蟹科技
北京易办网
参保易
小苗会计
Guideline Technologies
鸿湾科技
一同保
掘金企服
虎蔓
施塔福
同赢科技
社宝盒子
蓝湖互助
芝麻互助社区
35岁同盟
武汉智新创客	武汉智新创客互联科技有限公司
MissX
火石创造
聚咖啡
云创园科技
大年科技	浙江大年科技有限公司
翼航无人机
库塔科技
溉亚科技
网动股份	成都网动光电子技术股份有限公司
天创微波
生物标识
鹰谷光电
迪威普
三鸣创建
大恒科技
Hitachi
力合光电传感	深圳力合光电传感股份有限公司
峰通光电
凯盾智能
生之源数码
深圳沃特佳
阖煦微波	上海阖煦微波技术有限公司
瑞迪威科技
海特微波
世源频控
源创高科
微波仿真网
澳丰源
GwaveStore微波现货平台
中玮科技
丰泰瑞达
同方鼎欣	同方鼎欣科技股份有限公司
凌志软件
万司信息
新航动力
中航信息	深圳中航信息科技产业股份有限公司
宜财网络
临风云	北京临风云科技有限公司
云和软件
自然云	杭州容云网络科技有限公司
数人云
精灵云科技
魔泊云
中服软件
蜂窝科技
安德互联
时速云
Bocloud
云联接
WePaaS
中搜云悦
Pivotal
壹耘
新数科技
IDCOS
枫数科技
EasyStack
甲虫网络
TeleSign
零空信息
灵雀云
英拿信息
TELETRAAN
炎黄盈动
皕应	深圳皕川科技有限公司
威努特
Corelight
Exabeam
Tenable Network Security
empow cyber security
象印验证码	重庆龙讯宏图科技有限公司
巨辰科技
印象码
飞巡	飞巡（上海）航空科技发展有限公司
鸿鹄无人机
翱天宇
控客
睿马信息	珠海睿马信息科技有限公司
精益科技	北京精益理想科技有限公司
文威智能	福建文威智能科技有限公司
荷花科技
快CTO	上海速道科技有限公司
猎马网
CoolCTO
柠檬客创业社区
投投是道	青岛发掘者网络技术有限公司
黑哨兵
疯狂BP
蔡长门BP
赋为网络
鼎推创投
青创众帮	山西青创众帮网络科技有限公司
瀚德金创
库卡Space
天腾科技	河南天腾航空科技有限公司
视博起航
建中数字
南羽科技
光峰光电	深圳市光峰光电技术有限公司
百变悟空科技	北京百变悟空科技有限公司
Peel
酷控科技
MoreTV电视猫	上海千杉网络技术发展有限公司
欢众游戏
口袋视频
公交云科技	杭州市公共交通云科技股份有限公司
海视智能
东博科技
图盟科技
Serafim硕擎科技	台湾硕擎科技股份有限公司
奥创VR	上海任素数码科技有限公司
热力星球
小灯科技
哒哒科技	哒哒在线（北京）科技有限公司
微想智森
藤讯科技
VR播播
Plex
绿米联创	深圳绿米联创科技有限公司
好度科技	天津好度科技有限公司
佳讯微课
秘猿科技	杭州秘猿科技有限公司
鲸鲨软件	北京鲸鲨软件科技有限公司
私家云区块链
OpenIO
Myshare
Synology
乐售
中博龙辉
Elastifile
Federal Archive
好管家迷你仓	深圳好管家仓储管理有限公司
OK迷你仓
大众迷你仓
迷你考拉仓
优立仓
BOXFUL宝易存
1号私仓
BoxMySpace
CBD迷你仓
RedBox Storage
Supercheap私人仓库
精灵云科技	成都精灵云科技有限公司
自然云
CloudChef骞云科技
UnitedStack有云
电科华云
寄云科技
云首信息科技
轻码云	深圳市轻码云科技有限公司
玄武科技
智融IT
星云AI
浪潮集团
云联接	上海缔安科技股份有限公司
中天网景
深迪半导体	深迪半导体（上海）有限公司
华美澳通
盾安环境
艾森智能
中航电测
InvenSense
飞恩微电子
美信半导体
汉威电子
龙微科技
华美澳通	深圳华美澳通传感器有限公司
诺联芯
希磁科技	宁波希磁电子科技有限公司
明皜传感	苏州明皜传感科技有限公司
GMEMS
云硕科技	广州云硕科技发展有限公司
首都在线
睿江云	广东睿江云计算股份有限公司
网宿科技	网宿科技股份有限公司
蓝汛通信
帝联科技
领智云
加速乐
速致
盘古数据	深圳市盘古数据有限公司
光环新网
互联港湾
企商在线
高升科技
中服软件	西安中服软件有限公司
灵韵网络
零空信息	广州市零空信息技术有限公司
易云科技
华通云数据
Virtual1
甜新科技
金无忧	南京金无忧企业管理有限公司
甩单宝
OYE! Loans
Upstart
Branch
光谷科信
永泰小贷
Mintifi
晴天助
天津科技小贷
First Circle
Veritas Finance
朝夕网络	上海朝夕网络技术有限公司
大同区块链
全息互信	北京全息互信数据科技有限公司
塔链网络	上海塔链网络科技有限公司
区块链中国	北京幸福光彩物联网资产管理有限公司
德新机器人	重庆德新机器人检测中心有限公司
SLAMTEC	上海思岚科技有限公司
邦鼓思
可以科技
德泽机器人
Simple & General Robot	上海尚工机器人技术有限公司
莫比嗨客
Osaro
众德泰科	众德泰科科技（北京）有限公司
NextWave Robotics
团队机器人
ManaVR	北京神秘谷数字科技有限公司
兆云科技	杭州兆云科技有限公司
StoreHub
Mark43
上海互惠
一铭软件
弥康科技
创客匠人
街库网	广东街库网络科技有限公司
扬州胖西湖网	扬州胖西湖网络科技有限公司
河东商城
大嘴巴大学生网上超市
爱特惠云超市
生源网
U箱超市
29马尚到
拍立送
生源网	郴州生源商业集团
扬州胖西湖网
温州餐饮采购助手
河东商城	山西中智云达信息技术有限公司
沙塔	上海沙塔信息科技有限公司
万方网络	深圳万方网络股份有限公司
恒泰智联
联合同创
卡布奇诺电子
阿普奇
兆威股份
乐派数码
Yota Devices
Fairphone
World Dryer
南昌黑鲨科技
南昌黑鲨科技	南昌黑鲨科技有限公司
力禧捷科技	广州力禧捷电子科技有限公司
影动力
艾葵斯
艾葵斯	艾葵斯（北京）科技有限公司
米影科技
翰酷网络
妖灵妖科技
SpaceMax
红栗子VR
当红齐天
豆芽金服	上海蒲贡英互联网金融信息服务有限公司
泰康保险
新一站
安心保险
小雨伞保险
人人保险
腾保保险
宜保通保险网
保神先网络
蜗牛保险
MY83保险网
意时网
聚保盆
聚保物流
海绵保
灵智优诺
e家保险
快保家
天气宝
懒保险
点金保
订单保
钥世圈云健康
微易科技
聚保盆	聚保盆信息科技（北京）有限公司
Clark
全齿健
欢乐企保通
前海保交
豆芽金服
海豚保宝
360医疗保险情报网
保加
OK保险网
科大智能	科大智能科技股份有限公司
科捷自动化
施格科技
普智联科
先驱机器人
创意魔方	北京创意魔方广告有限公司
媒管家
医诚
苏州图云
酷客美地
天创誉诚
禾道广告
扫电猴
Stackplus	北京五点网络科技有限公司
衡度分期	天津衡度天下数据技术有限公司
浩汤金融
时时保
七炅信息
易保险
喜豆车险科技
海底宝
e驾按天保	北京速能数码网络技术有限公司
险萝卜
开开保
摩图科技	杭州摩图科技有限公司
乐连人脸识别
AI Brain	北京未来光合科技有限公司
星阵围棋
图灵人工智能
AIhub
Flipside Crypto
鑫义信息
SingularityNET
鑫义信息	宁波鑫义信息科技有限公司
极视角
AI Brain
小库科技
Actify Data Labs
辛能科技
大师魔盒	厦门树叶科技有限公司
ThinkForce	上海熠知电子科技有限公司
有客云	北京紫平方信息技术股份有限公司
zendesk
微客服
美服网络	安徽美服网络科技有限公司
Sabio
忠仕软件
秒通网络	深圳市秒通网络有限公司
ICONTEK	深圳市艾肯特科技有限公司
讯鸟软件	北京讯鸟软件有限公司
合力亿捷
Encradar	北京佳光科技有限公司
傲视智绘
Blackmore
LeddarTech
饮冰科技
微光云
饮冰科技	北京饮冰科技有限公司
深穹光电
精湛光电
迈测科技
Quanergy
Encradar
博未传感	上海博未传感技术有限公司
Auris	Auris, Inc.
蜜曰科技MonsterPub	蜜曰科技（北京）有限公司
有情趣平台
倍克贝克
LULU
星爱科技
Maude
Unbound
有情有趣
潘朵拉商城
拾色科技
丽波科技
幸福宝盒
娇羞
爱啪网
秘密花园
去趣哪儿
安全入口
嘿漫HeyMan
多宝先生
性多多
盘丝洞网络
两只猫科技
佰趣科技
小爱爱
小小鸟情趣商城
Bigbang逼格帮
竹燕科技
调性viisee
1024 OWNER拥尔
IMTOY智玩互动
情趣帮
鹿大师
甜爱路	上海甜爱电子科技有限公司
蜜曰科技MonsterPub
cueme
SenseMax
送鸭
SVAKOM
赛洛诗
倍克贝克	深圳市华创振新科技发展有限公司
精准学	杭州智会学科技有限公司
数加教育
沃课WOX
暄暄科技
任学堂
贪心学院
理琪教育
数问科技
ALEKS
OKAY智慧教育
七月在线
数阅科技	上海数阅信息科技有限公司
晶赞科技
卡特迈迅
数据鲸
猫酷
Pandarin	杭州冠品机器人科技有限公司
派毅智能
Ralfael智能机器人
物本脑科技
百味迹忆
Wetwire Robotics
Musio
Ralfael智能机器人	嘉兴深眸科技有限公司
Pandarin
Bright Future
阿拉丁智能
珠海聚碳	珠海聚碳复合材料有限公司
吉泰亿阳
第六元素材料
格菲科技
瑞利特
墨之萃
好搭配科技
烯成科技
烯旺科技
东莞鸿纳	鸿纳（东莞）新材料科技有限公司
三顺纳米
德方纳米
凯纳股份
画暖家
牛墨科技	杭州牛墨科技有限公司
珠海聚碳
昊鑫新能源
新卡奔
画暖家	北京绿能嘉业新能源有限公司
东莞鸿纳
Live800客服系统	成都金铠甲科技有限公司
记账熊	深圳市易乐享互联网信息服务合伙企业
店驰
小土科技	北京小土科技有限公司
迈谱数据
海狸科技
金节点数据	北京瑞景汇科技有限公司
好聘网	苏州好招网络信息技术有限公司
蜂巢APP
91职程网
八斗猫
WorkVenture
E-Smart
点金保	上海脉保电子科技有限公司
恒荣汇彬	北京恒荣汇彬保险代理股份有限公司
新华保险
微云保贝
鼎宏保险
Genworth Financial
聚保池
华凯保险
大象机器人	深圳市大象机器人科技有限公司
尔智机器人
节卡机器人
麦荷机器人
瑞森可科技
遨博智能
伍斯特智能科技
Teradyne
Universal Robots
新越机器人
山思跃立
桃谷科技	北京桃谷科技有限公司
江苏健康无忧
近医通
元合科技	大连元合科技有限公司
康复智云
齐济医疗
医生+
Patientory
医家亲	同合健康科技（上海）股份有限公司
星捷安科技
麦豆医生
BetterDoctor
柯丽尔	深圳市巨鼎医疗设备有限公司
京颐股份
BojiMed
海鹚网络
博彦华脉
东软医疗
体创动力	南京体创健康管理有限公司
元合科技
小红象医疗科技
慧医谷
天堰医教
eviCore healthcare
绿仰科技	杭州绿仰科技有限公司
ABILITY Network
纽睿医美	四川纽睿科技有限公司
亿医通	亿医通（北京）信息技术有限公司
康程医管
泽信软件	上海泽信软件有限公司
澳考科技
麦迪科技	苏州麦迪斯顿医疗科技股份有限公司
网医科技	大连网医信联科技有限公司
众志好活	北京众志好活科技有限公司
紫清科技	江苏紫清信息科技有限公司
徐工信息
繁易科技
航数智能	上海航数智能科技有限公司
Uptake
iDerke
智物联	深圳市智物联网络有限公司
Filament
Flutura
映翰通
带来科技
Axalent
司南物联
真格智能
聚励云机械
舵手云物联
杭州数途	杭州数途信息科技有限公司
IoT ONE	沃好商务信息咨询（上海）有限公司
哲扬科技
奇技医疗	北京奇技医疗科技有限公司
安科医疗
傅立叶医疗
清数科技	成都清数科技有限公司
金桥科技
中科鼎富上海奔耀
新华智云
思通聚宝
大数科技	深圳大数信息科技有限公司
徙木金融
76hui企乐汇
云上贵州
智子云
网智天元
Amisbook阿米智能
开源道科技
卡莱博尔
上海添创	上海添创信息技术有限公司
Dataiku
bingrun
迈宁数据	杭州迈宁数据科技有限公司
一米金融
华翰云	吉林华翰云数据分析有限公司
答卷网
学航教育
星爱科技	星爱（北京）智能科技有限公司
桉树软件	桉树软件（北京）有限公司
象云
睿云在线
Rackspace
靠谱云
易通麦尔
Fit2Cloud
Linker领科云
华为云
云俱阵
友友系统	北京友友天宇系统技术有限公司
天云科技	上海天云融创计算机科技有限公司
龙境科技
宽云视讯
Infogain
乾云科技
神州视翰	北京神州视翰科技有限公司
普慧优信	北京普慧优信科技有限公司
联众智慧	联众智慧科技股份有限公司
云上贵州	云上贵州大数据产业发展有限公司
亿创科技
高科数聚
亚讯星科	成都亚讯星科科技股份有限公司
极光物联
蓝光汇智
上海即富
拟介科技	上海拟介科技有限公司
Amimon
Hoevo全息未来
铅笔视界	北京铅笔视界科技有限公司
Meta
Data Pipeline	北京市逐风科技有限公司
中模国际
乐加科技
互利科技
翱旗科技
客房汇
美林数据
怡丰机器人	深圳怡丰机器人科技有限公司
爱智威机器人
霹雳机器人
仙知机器人
智能侠科技
意欧斯
Clearpath Robotics
远能物流
路加机器人
Ubiquity Robotics
炬光科技
山东华光光电子
欧泰激光
维林光电
天弘激光
朋泊停车	北京智通易泊科技股份有限公司
LIGHTCAR轻车
好停车
易米停车
玩转停车
腾石智能
大洋泊车
创联睿智
大道智慧泊车
停车精灵
停易停
慧停车
批改网	北京词网科技有限公司
大连华瑞信息技术股份有限公司
脑洞
交流通
夸克联盟	上海卓保网络科技有限公司
互保天下
钉钉互助
小火柴互助
盎司一起
蜂巢互助
保易捷
青草互助
易相互
普惠互助
九行互助
福汇互助
行橙无忧
企享车保
阿博茨科技
Lemonade
互保网
e互助
小火柴互助	爱助（上海）信息科技有限公司
夸克联盟
Sentieo	公司规模：101-250
先知数据科技	先知数据科技（深圳）有限公司
湖南文沥
